id,title,price,original_price,sold,store_name,store_link,product_link
397,2023 Autumn/Winter New Unique Streetwear Sweatshirt Zipper Hooded Long Fleece-Lined Sweatshirt Other Style For Men And Women,MYR68.97,MYR56.67,25 sold,All-in-One Store,//www.aliexpress.com/store/1103199680,//www.aliexpress.com/store/1103199680
398,Call of Duty Black Ops 6 Graphic Hoodies Winter Long Sleeve Men/Women Sweatshirts Streetwear Fashion Printing Pullovers Male,MYR24.78,MYR40.98,30 sold,Shop1102960417 Store,//www.aliexpress.com/store/1102960418,//www.aliexpress.com/store/1102960418
399,Y2k Vintage Casual Hip-hop Cartoon Printed Full Zip Up Hoodie Sweatshirt Aesthetic Gothic Fashion Couple Tops Kawaii Clothes,MYR40.6,MYR114.49,45 sold,ZSIIBO No.2 Store,//www.aliexpress.com/store/1101236997,//www.aliexpress.com/store/1101236997
400,Sad Hamster Meme Girl Im Trying My Best Hoodie Fashion Women Kawaii Aesthetic Hoodies Unisex Autumn Winter Pullovers Sweatshirts,MYR9.09,MYR88.57,4 sold,Shop1103927008 Store,//www.aliexpress.com/store/1103925011,//www.aliexpress.com/store/1103925011
401,KUSAHIKI Fashion Elegant Korean High Waisted Short Skirt Spring/summer New Style Stylish Button Design A-line Skirts for Women,MYR41.37,MYR87.46,7 sold,Korean Women's Clothes Store,//www.aliexpress.com/store/1101598798,//www.aliexpress.com/store/1101598798
402,Manga One Piece Gear 5 Hoodie Women Funny Loose Fleece Cartoon Luffy Sweatshirts Ullzang Japanese Anime 90s Graphic Sweatshirt,MYR44.06,MYR54.22,1 sold,Shop1103752672 Store,//www.aliexpress.com/store/1103752673,//www.aliexpress.com/store/1103752673
403,A butterfly composed of butterflies and flowers Female Sweatshirt Street fur-liner Hooded Hipster S-XXL Hoodies Autumn Warm,MYR12.69,MYR40.98,2 sold,Popular Anime Women Store,//www.aliexpress.com/store/1103752576,//www.aliexpress.com/store/1103752576
404,Women Cat Book Sweatshirt Gift for Cat Lover Bookish Sweater for Book Lover Casual Long Sleeve Fleece Sweatshirt Y2K Streetwear,MYR24.61,MYR86.08,1 sold,Sevenshopping Store Store,//www.aliexpress.com/store/1102922063,//www.aliexpress.com/store/1102922063
405,Jayce x Viktor Hoodie Classic Anime Arcane 2 Women Hoodies Kawaii Harajuku Aesthetic Autumn Winter Pullover Sweatshirt Vintage,MYR9.09,MYR33.44,5 sold,Shop1103927008 Store,//www.aliexpress.com/store/1103925011,//www.aliexpress.com/store/1103925011
406,Haikyuu Anime Hoodies Harajuku Aesthetics Aoba Johsai High School Logo Graphic Men Women Long Sleeve Winter Hooded Sweatshirts,MYR11.98,MYR50.75,15 sold,WOHOSAM Fashion Factory Store,//www.aliexpress.com/store/1103030132,//www.aliexpress.com/store/1103030132
407,Korean Embroidery Loose Sweatshirts for Women Spring Autumn Trendy Turn-Down Collar Student Pullovers 2023 New Casual Tops,MYR31.25,MYR0,49 sold,Global trade Snow,//www.aliexpress.com/store/1100983742,//www.aliexpress.com/store/1100983742
408,Puloru Chic Dragon Print Spaghetti Strap Mini Sundress Sexy Women's Backless Cross Straps Sheath Dress Party Club Streetwear,MYR4.51,MYR0,91 sold,Puloru Official Store,//www.aliexpress.com/store/1101425787,//www.aliexpress.com/store/1101425787
409,Dourbesty Vintage Gothic Grunge Skull Print Zip Up Hoodies Dark Academia Harajuku Sweatshirts Autunm Aesthetic Coat Tops Y2k,MYR36.67,MYR0,93 sold,Dourbesty Official Store,//www.aliexpress.com/store/1101795647,//www.aliexpress.com/store/1101795647
410,Women Retro Creative Hoodies Phoebe Bridgers Clothes Day After Tomorrow Music Album Sweatshirt Classic Scott ST Funny Pullovers,MYR18.86,MYR0,9 sold,B Dropshipping Store,//www.aliexpress.com/store/1101494097,//www.aliexpress.com/store/1101494097
411,Yellowstone National Park Embroidered Wine Red Unisex Sweatshirts Long Sleeve Loose Cotton Crewneck Autumn Vintage Pullovers,MYR98.41,MYR0,18 sold,CLK Embroidered Studio Store,//www.aliexpress.com/store/1101703631,//www.aliexpress.com/store/1101703631
412,Harajuku Oversized Letter Print zip Hoodie Streetwear Vintage Tops Sweatshirt Goth Jacket Hoodies Women Y2k Clothes Sports Suit,MYR31.89,MYR0,51 sold,Shop910735102 Store,//www.aliexpress.com/store/1101549045,//www.aliexpress.com/store/1101549045
413,2021 New My Bed Is Calling Hoodie Harajuku Women Casual Fashion All-match Sweatshirt Streetwear Unisex Hip Hop Oversize Girl Top,MYR29.61,MYR0,1 sold,Faddist Store,//www.aliexpress.com/store/1101540014,//www.aliexpress.com/store/1101540014
414,Women's Fashion Long Sleeve Pullover Kuromi Printed Cartoon Hoodie Dress Sweater Hello Kitty Women's Warm Fashion Clothing Y2K,MYR52.38,MYR121.55,3 sold,Shop140mimi Store,//www.aliexpress.com/store/1103622294,//www.aliexpress.com/store/1103622294
415,Sexy PVC Shiny Wet Look Micro Mini Dress Zipper Open Hollow Out Punk Dance Dress Latex PU Faux Leather Elastic Bodycon Dres,MYR28.88,MYR50.07,115 sold,"Shenzhen Yitong Technology CO.,Ltd",//www.aliexpress.com/store/1100564184,//www.aliexpress.com/store/1100564184
