Product Name,Price,Rating,Number of Reviews,Amount of products sold out,Product Link,Actual listed price
"SAMSUNG Galaxy A35 5G A Series Cell Phone, 128GB Unlocked Android Smartphone, AMOLED Display, Advanced Triple Camera System, Expandable Storage, Rugged Design, US Version, 2024, Awesome Navy",$349,4.5 out of 5 stars,620,500+ bought in past month,https://www.amazon.com/SAMSUNG-A35-Unlocked-Smartphone-Expandable/dp/B0CV4NQYFP/ref=sr_1_11?crid=W9N9DPB9SEQA&dib=eyJ2IjoiMSJ9.jq_9gFUh-GtR1Z3FPE774oZXwQhXyMAZUnieuXhn5umJgrx_J-qYMPmkKlyX2pnm7hPqYH1KuyEzDQhZwdoKojrCm8_D3FOUvd90ksIYgH5eoeoawl2DjMY6ts6Cn6YPn7AH_lu6-EEIkioDBOoAnbRR8HkTwAUygh3Nku3njn2D9VE6jOmagASdUtD9DQoWPg0addQeNylPbgr3f524B3kpIe4AY87kX_4hA3Owe8c.eGS_MKAubiZNMwhAr-r7NjDSzcWk8D_5gH0oiIzjO-g&dib_tag=se&keywords=smartphones&qid=1735657912&sprefix=smartphones%2Caps%2C212&sr=8-11,$399.99
"OnePlus Nord N30 5G | Unlocked Dual-SIM Android Smart Phone | 6.7"" LCD Display | 8 +128GB | 5000 mAh Battery | 50W Fast Charging | 108MP Camera | Chromatic Gray",$nan,4.3 out of 5 stars,1.1K,1K+ bought in past month,https://www.amazon.com/OnePlus-Unlocked-Dual-SIM-Charging-Chromatic/dp/B0C22BRGLG/ref=sr_1_12?crid=W9N9DPB9SEQA&dib=eyJ2IjoiMSJ9.jq_9gFUh-GtR1Z3FPE774oZXwQhXyMAZUnieuXhn5umJgrx_J-qYMPmkKlyX2pnm7hPqYH1KuyEzDQhZwdoKojrCm8_D3FOUvd90ksIYgH5eoeoawl2DjMY6ts6Cn6YPn7AH_lu6-EEIkioDBOoAnbRR8HkTwAUygh3Nku3njn2D9VE6jOmagASdUtD9DQoWPg0addQeNylPbgr3f524B3kpIe4AY87kX_4hA3Owe8c.eGS_MKAubiZNMwhAr-r7NjDSzcWk8D_5gH0oiIzjO-g&dib_tag=se&keywords=smartphones&qid=1735657912&sprefix=smartphones%2Caps%2C212&sr=8-12,
Google Pixel 7a - Unlocked Android Cell Phone - Smartphone with Wide Angle Lens and 24-Hour Battery - 128 GB – Charcoal,$339,4.3 out of 5 stars,2.6K,500+ bought in past month,https://www.amazon.com/Google-Pixel-7a-Unlocked-Smartphone/dp/B0BZ9XNBRB/ref=sr_1_13?crid=W9N9DPB9SEQA&dib=eyJ2IjoiMSJ9.jq_9gFUh-GtR1Z3FPE774oZXwQhXyMAZUnieuXhn5umJgrx_J-qYMPmkKlyX2pnm7hPqYH1KuyEzDQhZwdoKojrCm8_D3FOUvd90ksIYgH5eoeoawl2DjMY6ts6Cn6YPn7AH_lu6-EEIkioDBOoAnbRR8HkTwAUygh3Nku3njn2D9VE6jOmagASdUtD9DQoWPg0addQeNylPbgr3f524B3kpIe4AY87kX_4hA3Owe8c.eGS_MKAubiZNMwhAr-r7NjDSzcWk8D_5gH0oiIzjO-g&dib_tag=se&keywords=smartphones&qid=1735657912&sprefix=smartphones%2Caps%2C212&sr=8-13,$499.00
Nokia C2 2E | Android 11 (Go Edition) | Unlocked Smartphone | All Day Battery | 2/32GB | 5.7-Inch Screen | International Version | Blue,$59,3.3 out of 5 stars,174,1K+ bought in past month,https://www.amazon.com/Nokia-Android-Unlocked-Smartphone-5-7-Inch/dp/B0CJCTW1C5/ref=sr_1_14?crid=W9N9DPB9SEQA&dib=eyJ2IjoiMSJ9.jq_9gFUh-GtR1Z3FPE774oZXwQhXyMAZUnieuXhn5umJgrx_J-qYMPmkKlyX2pnm7hPqYH1KuyEzDQhZwdoKojrCm8_D3FOUvd90ksIYgH5eoeoawl2DjMY6ts6Cn6YPn7AH_lu6-EEIkioDBOoAnbRR8HkTwAUygh3Nku3njn2D9VE6jOmagASdUtD9DQoWPg0addQeNylPbgr3f524B3kpIe4AY87kX_4hA3Owe8c.eGS_MKAubiZNMwhAr-r7NjDSzcWk8D_5gH0oiIzjO-g&dib_tag=se&keywords=smartphones&qid=1735657912&sprefix=smartphones%2Caps%2C212&sr=8-14,
C24 | 2024 | All-Day Battery | GSM Unlocked | 5.5” Display | 2/16GB | 2300mAh | US Version | US Warranty | White,$39,3.6 out of 5 stars,41,1K+ bought in past month,https://www.amazon.com/Vortex-C24-All-Day-Unlocked-Warranty/dp/B0DLL7354W/ref=sr_1_15?crid=W9N9DPB9SEQA&dib=eyJ2IjoiMSJ9.jq_9gFUh-GtR1Z3FPE774oZXwQhXyMAZUnieuXhn5umJgrx_J-qYMPmkKlyX2pnm7hPqYH1KuyEzDQhZwdoKojrCm8_D3FOUvd90ksIYgH5eoeoawl2DjMY6ts6Cn6YPn7AH_lu6-EEIkioDBOoAnbRR8HkTwAUygh3Nku3njn2D9VE6jOmagASdUtD9DQoWPg0addQeNylPbgr3f524B3kpIe4AY87kX_4hA3Owe8c.eGS_MKAubiZNMwhAr-r7NjDSzcWk8D_5gH0oiIzjO-g&dib_tag=se&keywords=smartphones&qid=1735657912&sprefix=smartphones%2Caps%2C212&sr=8-15,
Moto G Stylus 5G | 2024 | Unlocked | Made for US 8/256GB | 50MP Camera | Caramel Latte,$249,4.5 out of 5 stars,213,2K+ bought in past month,https://www.amazon.com/Stylus-Unlocked-256GB-Camera-Caramel/dp/B0D1ZFS9GH/ref=sr_1_16?crid=W9N9DPB9SEQA&dib=eyJ2IjoiMSJ9.jq_9gFUh-GtR1Z3FPE774oZXwQhXyMAZUnieuXhn5umJgrx_J-qYMPmkKlyX2pnm7hPqYH1KuyEzDQhZwdoKojrCm8_D3FOUvd90ksIYgH5eoeoawl2DjMY6ts6Cn6YPn7AH_lu6-EEIkioDBOoAnbRR8HkTwAUygh3Nku3njn2D9VE6jOmagASdUtD9DQoWPg0addQeNylPbgr3f524B3kpIe4AY87kX_4hA3Owe8c.eGS_MKAubiZNMwhAr-r7NjDSzcWk8D_5gH0oiIzjO-g&dib_tag=se&keywords=smartphones&qid=1735657912&sprefix=smartphones%2Caps%2C212&sr=8-16,$399.99
Moto G Play 2023 3-Day Battery Unlocked Made for US 3/32GB 16MP Camera Navy Blue,$99,4.0 out of 5 stars,1.7K,1K+ bought in past month,https://www.amazon.com/Moto-3-Day-Battery-Unlocked-Camera/dp/B0BQ118F2T/ref=sr_1_17?crid=W9N9DPB9SEQA&dib=eyJ2IjoiMSJ9.66FmtNETjcHg69XjzUBwC8xRQqUYYJ7rbeBkYNtXDdz8EOZvsWvyGP27QxYa_Vxg6B6n7_EdN_QGZzRtydaFZnOJ11WPDYtjKT_MC1Z6bPEvpKrcZhyTQ_CxSCm8dsxhGbbqkZL1PuptoB4788yV9d78xZFs5vaXXXICb7Lo-MvgY8vzlgg-1dXxzRzBj8iR4TsEFM6CoBS7BZX_MN5gBvjlr-n_no676Rn5W2WMyYs.1de7VMmJCaBZaWDE62tNXY4_Bs3zUxSZwzkwNMCidLQ&dib_tag=se&keywords=smartphones&qid=1735657920&sprefix=smartphones%2Caps%2C212&sr=8-17&xpid=7-jNfIGsSwLb8,$111.78
BLU G44 | 2024 | All-Day Battery | Unlocked | 6.8” HD+ Infinity Display | 64GB | Triple 13MP Camera | US Warranty| Blue,$69,3.6 out of 5 stars,30,500+ bought in past month,https://www.amazon.com/BLU-All-Day-Unlocked-Infinity-Warranty/dp/B0DD8HL23R/ref=sr_1_18?crid=W9N9DPB9SEQA&dib=eyJ2IjoiMSJ9.66FmtNETjcHg69XjzUBwC8xRQqUYYJ7rbeBkYNtXDdz8EOZvsWvyGP27QxYa_Vxg6B6n7_EdN_QGZzRtydaFZnOJ11WPDYtjKT_MC1Z6bPEvpKrcZhyTQ_CxSCm8dsxhGbbqkZL1PuptoB4788yV9d78xZFs5vaXXXICb7Lo-MvgY8vzlgg-1dXxzRzBj8iR4TsEFM6CoBS7BZX_MN5gBvjlr-n_no676Rn5W2WMyYs.1de7VMmJCaBZaWDE62tNXY4_Bs3zUxSZwzkwNMCidLQ&dib_tag=se&keywords=smartphones&qid=1735657920&sprefix=smartphones%2Caps%2C212&sr=8-18&xpid=7-jNfIGsSwLb8,
"SAMSUNG Galaxy S24 Ultra 5G S9280 Physical Dual SIM 512GB 12GB RAM AI Smartphone, Factory Unlocked, Global Model, Long Battery Life - Titanium Violet",$999,4.1 out of 5 stars,106,500+ bought in past month,https://www.amazon.com/SAMSUNG-Physical-Smartphone-Factory-Unlocked/dp/B0CV73SG4Z/ref=sr_1_19?crid=W9N9DPB9SEQA&dib=eyJ2IjoiMSJ9.66FmtNETjcHg69XjzUBwC8xRQqUYYJ7rbeBkYNtXDdz8EOZvsWvyGP27QxYa_Vxg6B6n7_EdN_QGZzRtydaFZnOJ11WPDYtjKT_MC1Z6bPEvpKrcZhyTQ_CxSCm8dsxhGbbqkZL1PuptoB4788yV9d78xZFs5vaXXXICb7Lo-MvgY8vzlgg-1dXxzRzBj8iR4TsEFM6CoBS7BZX_MN5gBvjlr-n_no676Rn5W2WMyYs.1de7VMmJCaBZaWDE62tNXY4_Bs3zUxSZwzkwNMCidLQ&dib_tag=se&keywords=smartphones&qid=1735657920&sprefix=smartphones%2Caps%2C212&sr=8-19&xpid=7-jNfIGsSwLb8,
"SAMSUNG Galaxy S24 FE AI Phone, 256GB Unlocked Android Smartphone, High-Res 50MP Camera, Long Battery Life, Brighter Display Screen, US Version, 2024, US 1 Yr Manufacturer Warranty, Mint",$709,4.5 out of 5 stars,225,500+ bought in past month,https://www.amazon.com/SAMSUNG-Unlocked-Smartphone-High-Res-Manufacturer/dp/B0DCLPFZDF/ref=sr_1_20?crid=W9N9DPB9SEQA&dib=eyJ2IjoiMSJ9.66FmtNETjcHg69XjzUBwC8xRQqUYYJ7rbeBkYNtXDdz8EOZvsWvyGP27QxYa_Vxg6B6n7_EdN_QGZzRtydaFZnOJ11WPDYtjKT_MC1Z6bPEvpKrcZhyTQ_CxSCm8dsxhGbbqkZL1PuptoB4788yV9d78xZFs5vaXXXICb7Lo-MvgY8vzlgg-1dXxzRzBj8iR4TsEFM6CoBS7BZX_MN5gBvjlr-n_no676Rn5W2WMyYs.1de7VMmJCaBZaWDE62tNXY4_Bs3zUxSZwzkwNMCidLQ&dib_tag=se&keywords=smartphones&qid=1735657920&sprefix=smartphones%2Caps%2C212&sr=8-20&xpid=7-jNfIGsSwLb8,
